Date	Diesel/Petrol	Pump Price
3/27/2006	Diesel	£94.95
3/27/2006	Petrol	£91.16
4/3/2006	Diesel	£95.64
4/3/2006	Petrol	£91.78
4/10/2006	Diesel	£96.40
4/10/2006	Petrol	£92.77
4/18/2006	Diesel	£97.64
4/18/2006	Petrol	£94.23
4/24/2006	Diesel	£98.50
4/24/2006	Petrol	£95.35
5/1/2006	Diesel	£98.90
5/1/2006	Petrol	£96.13
5/8/2006	Diesel	£98.90
5/8/2006	Petrol	£96.46
5/15/2006	Diesel	£98.74
5/15/2006	Petrol	£96.39
5/22/2006	Diesel	£98.50
5/22/2006	Petrol	£96.10
5/29/2006	Diesel	£97.69
5/29/2006	Petrol	£95.36
6/5/2006	Diesel	£97.55
6/5/2006	Petrol	£95.24
6/12/2006	Diesel	£97.75
6/12/2006	Petrol	£95.49
6/19/2006	Diesel	£97.77
6/19/2006	Petrol	£95.44
6/26/2006	Diesel	£97.36
6/26/2006	Petrol	£94.97
7/3/2006	Diesel	£97.60
7/3/2006	Petrol	£95.27
7/10/2006	Diesel	£97.99
7/10/2006	Petrol	£95.69
7/17/2006	Diesel	£98.74
7/17/2006	Petrol	£96.88
7/24/2006	Diesel	£99.41
7/24/2006	Petrol	£97.78
7/31/2006	Diesel	£99.41
7/31/2006	Petrol	£97.83
8/7/2006	Diesel	£99.57
8/7/2006	Petrol	£98.05
8/14/2006	Diesel	£99.45
8/14/2006	Petrol	£97.82
8/21/2006	Diesel	£97.93
8/21/2006	Petrol	£95.74
8/28/2006	Diesel	£96.67
8/28/2006	Petrol	£94.40
9/4/2006	Diesel	£95.92
9/4/2006	Petrol	£92.88
9/11/2006	Diesel	£95.34
9/11/2006	Petrol	£91.48
9/18/2006	Diesel	£94.95
9/18/2006	Petrol	£89.78
9/25/2006	Diesel	£93.51
9/25/2006	Petrol	£88.20
10/2/2006	Diesel	£92.13
10/2/2006	Petrol	£86.95
10/9/2006	Diesel	£91.74
10/9/2006	Petrol	£86.60
10/16/2006	Diesel	£91.59
10/16/2006	Petrol	£85.91
10/23/2006	Diesel	£91.22
10/23/2006	Petrol	£85.74
10/30/2006	Diesel	£91.17
10/30/2006	Petrol	£85.60
11/6/2006	Diesel	£91.12
11/6/2006	Petrol	£85.54
11/13/2006	Diesel	£91.15
11/13/2006	Petrol	£85.49
11/20/2006	Diesel	£91.17
11/20/2006	Petrol	£85.45
11/27/2006	Diesel	£91.17
11/27/2006	Petrol	£85.47
12/4/2006	Diesel	£91.50
12/4/2006	Petrol	£85.46
12/11/2006	Diesel	£92.96
12/11/2006	Petrol	£87.44
12/18/2006	Diesel	£93.26
12/18/2006	Petrol	£87.70
12/25/2006	Diesel	£93.41
12/25/2006	Petrol	£87.90
1/1/2007	Diesel	£93.40
1/1/2007	Petrol	£87.85
1/8/2007	Diesel	£93.11
1/8/2007	Petrol	£87.66
1/15/2007	Diesel	£91.55
1/15/2007	Petrol	£87.10
